end_station_name,end_trip_count,end_lat,end_lng,education,food_drink,health,office,other_amenity,recreation,retail,tourism,transit,total_services_100m
Kingsbury St & Kinzie St,40013.0,41.889172621529056,-87.63849963502554,0.0,2.0,0.0,0.0,16.0,5.0,1.0,1.0,0.0,25.0
DuSable Lake Shore Dr & Monroe St,37916.0,41.880958,-87.616743,0.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,3.0,20.0
Navy Pier,34777.0,41.892278,-87.612043,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,2.0,13.0
DuSable Lake Shore Dr & North Blvd,34670.0,41.911722,-87.626804,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,5.0
Michigan Ave & Oak St,34628.0,41.90096039009614,-87.62377663865593,0.0,5.0,0.0,1.0,10.0,3.0,1.0,1.0,3.0,24.0
Clinton St & Washington Blvd,30589.0,41.883378993326986,-87.64117008864396,0.0,27.0,1.0,4.0,23.0,4.0,16.0,1.0,24.0,100.0
Streeter Dr & Grand Ave,29925.0,41.892278002970286,-87.61204300164603,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,2.0,13.0
Clark St & Elm St,29365.0,41.90301732164141,-87.63152289470456,0.0,2.0,0.0,0.0,10.0,2.0,3.0,0.0,8.0,25.0
Canal St & Madison St,29301.0,41.882409,-87.639767,0.0,18.0,0.0,0.0,33.0,21.0,3.0,0.0,20.0,95.0
Clinton St & Madison St,29161.0,41.88275006331282,-87.64119022354309,0.0,17.0,0.0,2.0,28.0,5.0,3.0,0.0,22.0,77.0
Theater on the Lake,27851.0,41.926277,-87.630834,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,6.0
Wells St & Concord Ln,27535.0,41.912133,-87.634656,0.0,5.0,0.0,0.0,4.0,2.0,5.0,0.0,1.0,17.0
Millennium Park,27485.0,41.8810317,-87.62408432,2.0,12.0,0.0,1.0,35.0,37.0,2.0,7.0,4.0,100.0
Wells St & Elm St,26237.0,41.903222,-87.634324,1.0,7.0,0.0,1.0,5.0,4.0,5.0,0.0,2.0,25.0
State St & Chicago Ave,26150.0,41.896617200407526,-87.62857854366302,1.0,10.0,0.0,0.0,8.0,4.0,1.0,0.0,15.0,39.0
Clark St & Armitage Ave,24034.0,41.918305755768,-87.63628183370878,0.0,1.0,0.0,1.0,4.0,11.0,0.0,5.0,5.0,27.0
Wells St & Huron St,23741.0,41.89478399980203,-87.6343724037867,0.0,10.0,0.0,0.0,5.0,5.0,2.0,0.0,2.0,24.0
Clinton St & Jackson Blvd,23715.0,41.87831662050808,-87.64098109175531,0.0,5.0,0.0,1.0,22.0,3.0,1.0,0.0,17.0,49.0
Clark St & Lincoln Ave,23372.0,41.915689,-87.6346,1.0,3.0,0.0,0.0,7.0,1.0,0.0,1.0,5.0,18.0
Dearborn St & Erie St,22070.0,41.893992,-87.629318,0.0,8.0,0.0,1.0,4.0,0.0,0.0,1.0,3.0,17.0
